Crop,N,P,K,S,Zn,Fe,B,Mn,Cu
cotton,150,60,90,25,5,5,1.0,4,1.0
rice,100,50,60,20,5,4,1.0,3,0.8
wheat,120,50,40,20,4,4,0.8,3,0.6
maize,160,60,80,25,5,5,1.0,4,1.0
soyabean,25,50,50,20,4,4,0.8,3,0.6
turmeric,100,45,150,30,6,6,1.2,4,1.0
ragi,40,30,40,15,4,4,1.0,3,0.6
jowar,90,40,40,15,4,4,1.0,3,0.6
bajra,60,30,30,15,4,4,1.0,3,0.6
sunflower,60,40,60,20,5,4,1.0,3,0.8
lentils,20,40,40,10,3,3,1.0,2,0.5
mustard,120,60,40,30,4,4,1.0,3,0.8
chana gram,25,60,40,15,3,4,1.0,3,0.6
black gram,25,50,40,15,3,4,1.0,3,0.6
lobia,30,50,50,15,3,4,1.0,3,0.6
green gram,30,50,40,15,3,4,1.0,3,0.6
barley,90,45,40,15,4,4,1.0,3,0.6
onion,120,60,120,20,5,5,1.0,4,0.8
