Deficiency,Stage_Priority,Fertilizer,Soil_Sand_Dose,Soil_Loam_Dose,Soil_Clay_Dose,Foliar_Option,Notes
Nitrogen,High,Urea 46%,50,40,30,1.5% Urea Spray,Avoid excess late stage
Phosphorus,Early,DAP,50,40,30,None,Apply near root zone only
Potassium,Mid,MOP,25,20,15,1% SOP Spray,Improves filling and resistance
Sulphur,Medium,Gypsum/ Sulphur 90%,20,15,10,0.5% Foliar,Helpful for legumes
Zinc,Medium,ZnSO4 21%,12,10,8,2% Foliar Spray,Do not mix with P fertilizers immediately
Iron,Low,Fe Chelate,None,None,None,0.5–1% Foliar Only,Best foliar only
Boron,Low,Borax,3,2,1,0.2% Foliar Spray,Overdose toxic
Manganese,Medium,MnSO4,10,8,6,0.5–1% Foliar Spray,Helps photosynthesis
Copper,Low,CuSO4,5,4,3,0.2–0.5% Foliar Spray,Helps enzyme activity
Soil_Acidic,pH correction,Lime,200,150,100,None,Raises pH
Soil_Alkaline,pH correction,Gypsum,200,150,100,None,Reduces alkalinity
EC High,Salinity Flush,Fresh water irrigation,None,None,None,None,Avoid fertilizers until balanced
